"Post-Flight Data Sheet AE3202",,,,,,,,,,,,
,,,,,,,,,,,,
"date of flight:",,,3/6/2018,,"T/O time:",,9.43,,,,,
"flight number:",,,,,"LND time:",,,,,,,
,,,,,,,,,,,,
"Weights",,,,,,,,,,,,
,,,"name",,,,"mass [kg]",,,,,
"pilot 1:",,,"Hans",,,,95,,,,,
"pilot 2:",,,"Tjipke",,,,82,,,,,
"co-ordinator:",,,"Kasper",,,,67,,,,,
"observer 1L:",,,"Janneke",,,,71,,,,,
"observer 1R:",,,"Thjis",,,,75,,,,,
"observer 2L:",,,"Marijn",,,,76,,,,,
"observer 2R:",,,"Nico",,,,78,,,,,
"observer 3L:",,,"Pieter",,,,80,,,,,
"observer 3R:",,,"Mark",,,,104.5,,,,,
,,,,,,,,,,,,
"block fuel [lbs]:",,,4000,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"Stationary measurements CL-CD Series 1",,,,,,,,,,,,
,,,,,,,,,,,,
"Aircraft configuration:",,,,"clean",,,,,,,,
,,,,,,,,,,,,
"nr.","time","ET*","hp","IAS","a","FFl","FFr","F. used","TAT",,,
,"[hrs:min]","[sec]","[ft]","[kts]","[deg]","[lbs/hr]","[lbs/hr]","[lbs]","[°C]",,,
,,,,,,,,,,,,
1,,23.15,13000,250,1.5333,722,761.5,458.1667,-2.2,,,
2,,26.3,12990,220,2.5,618,628,518,-4.5,,,
3,,29.1,13000,191,3.5,512,538,567,-6.8,,,
4,,30.55,12990,158,5.5,452,469,588,-8.8,,,
5,,33.3,12990,128,9,388,415,618,-10.5,,,
6,,35.2,13080,120,10.3,435,458,644,-11.2,,,
7,,,,,,,,,,,,
,,"* ET = Elapsed Time",,,,,,,,,,
,,,,,,,,,,,,
"Stationary measurements CL - CD Series 2",,,,,,,,,,,,
,,,,,,,,,,,,
"Aircraft configuration :",,,,,,,,,,,,
,,,,,,,,,,,,
"nr.","time","ET*","hp","IAS","a","FFl","FFr","F. used","TAT",,,
,"[hh:mm]","[sec]","[ft]","[kts]","[deg]","[lbs/hr]","[lbs/hr]","[lbs]","[°C]",,,
,,,,,,,,,,,,
1,,,,,,,,,,,,
2,,,,,,,,,,,,
3,,,,,,,,,,,,
4,,,,,,,,,,,,
5,,,,,,,,,,,,
6,,,,,,,,,,,,
7,,,,,,,,,,,,
,,"* ET = Elapsed Time",,,,,,,,,,
"Stationary measurements Elevator Trim Curve",,,,,,,,,,,,
,,,,,,,,,,,,
"Aircraft configuration:",,,,"clean",,,,,,,,
,,,,,,,,,,,,
"nr.","time","ET*","hp","IAS","a","de","detr","Fe","FFl","FFr","F. used","TAT"
,"[hh:mm]","[sec]","[ft]","[kts]","[deg]","[deg]","[deg]","[N]","[lbs/hr]","[lbs/hr]","[lbs]","[°C]"
,,,,,,,,,,,,
1,,39.5,13250,161,5.3,0.1,2.8,0,441,460,716,-9.3
2,,41.08,13600,151,6.2,-0.4,2.8,-16.5,437,454,739.5,-10.6
3,,42.25,13900,141,7.2,-0.8,2.8,-26.5,432.5,449.5,758,-12
4,,45.2,13890,130.5,8.5,-1.4,2.8,-43.5,432,447.5,800.5,-12.3
5,,47.1,13180,171,4.6,0.4,2.8,17,445.5,462,829,-8.35
6,,48.45,12890,180.5,4,0.7,2.8,41,452.5,469.5,852.3,-7.8
7,,50.08,12430,190.5,3.4,1,2.8,80,461.5,477.5,872,-6.2
,,"* ET = Elapsed Time",,,,,,,,,,
,,,,,,,,,,,,
"Shift in center of gravity",,,,,,,,,,,,
,,,,,,,,,,,,
"name:",,"Pieter",,,,,,,,,,
"position:",,"3L",,"moved to position:",,,"Cockpit",,,,,
,,,,,,,,,,,,
"nr.","time","ET*","hp","IAS","a","de","detr","Fe","FFl","FFr","F. used","TAT"
,"[hh:mm]","[sec]","[ft]","[kts]","[deg]","[deg]","[deg]","[N]","[lbs/hr]","[lbs/hr]","[lbs]","[°C]"
1,,52.35,12930,160,5.3,0,2.8,0,448,465,911.5,-8.8
2,,54.25,13060,161,5.2,-0.4,2.8,-20.5,446,461.5,938,-8.8
,,"* ET = Elapsed Time",,,,,,,,,,
,,,,,,,,,,,,
"Eigenmotions",,,,,,,,,,,,
,,,,,,,,,,,,
,,,"Time",,,"Time",,,"Time",,,
,,,"[hh:mm]",,,"[hh:mm]",,,"[hh:mm]",,,
"Phugoid",,,"60:00:48","Dutch Roll",,"57:04","Aper. Roll",,"59:13",,,
"Short period",,,"55:50","Dutch Roll YD",,"57:45","Spiral",,"60:4:57",,,
